group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Time_coverage_7,Time_coverage_8,Time_coverage_9,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Duration_7,Duration_8,Duration_9,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6,Occurrence_7,Occurrence_8,Occurrence_9
2,1,10,13.9048324384373,13.5345306424736,9.86854286243288,9.3316052582855,11.8681725606369,12.6643214219589,9.55378633586373,7.88742825402703,11.3867802258841,0.0401175213675213,0.0396851248642779,0.0315011820330969,0.0345679012345679,0.0346861471861472,0.0357366771159875,0.0316176470588235,0.029957805907173,0.0358391608391608,312,307,282,243,308,319,272,237,286
2,2,11,13.8122569894464,12.7383817811516,14.3862247731902,8.53545639696353,14.9972227365303,12.2384743566006,8.64654693575264,7.0357341233105,7.60970190705425,0.0346332404828226,0.0322097378277153,0.0341688654353562,0.0283517835178352,0.0306122448979592,0.0331827309236948,0.0276004728132388,0.0243589743589744,0.0251838235294118,359,356,379,271,441,332,282,260,272
2,3,12,13.8122569894464,10.979448250324,14.5528605813738,11.0164784299204,12.9235326791335,12.8124421403444,7.66524717644881,8.01703388261433,8.22069987039437,0.0339708561020036,0.0296796796796797,0.0302540415704388,0.028414517669532,0.0275019700551615,0.029801894918174,0.0235494880546075,0.0252331002331002,0.0241042345276873,366,333,433,349,423,387,293,286,307
2,4,13,10.6276615441585,13.8863173486391,10.5165710053694,10.3869653767821,13.9788927976301,10.0907239400111,7.73930753564155,6.96167376411776,15.8118866876504,0.026797385620915,0.0355113636363636,0.0269705603038936,0.0324652777777778,0.0303945249597423,0.0283854166666667,0.0253333333333333,0.0253711201079622,0.0306093189964157,357,352,351,288,414,320,275,247,465
2,5,14,13.2012590261063,13.071653397519,12.1273838178115,10.775782262544,12.9975930383262,13.1827439363081,10.3684502869839,7.01721903351231,7.25791520088872,0.0371354166666667,0.0336190476190476,0.0314601344860711,0.030503144654088,0.0310344827586207,0.0326007326007326,0.0289855072463768,0.0259945130315501,0.0257217847769029,320,350,347,318,377,364,322,243,254
2,6,15,14.9972227365303,11.479355674875,10.7387520829476,10.479540825773,13.1086835771153,12.5902610627662,10.3129050175893,7.57267172745788,8.72060729494538,0.03515625,0.031031031031031,0.0303030303030303,0.0300424628450106,0.0335227272727273,0.0302222222222222,0.0293776371308017,0.0269433465085639,0.0270689655172414,384,333,319,314,352,375,316,253,290
2,7,16,13.2382892057026,11.8126272912424,12.0162932790224,9.979633401222,14.1270135160156,13.275319385299,8.66506202555082,7.94297352342159,8.94278837252361,0.0259622367465505,0.0243883792048929,0.0255110062893082,0.0246794871794872,0.0265483646485734,0.0268539325842696,0.0226744186046512,0.0229903536977492,0.0223611111111111,459,436,424,364,479,445,344,311,360
2,8,17,11.3312349564895,10.5536011849657,14.0899833364192,11.0349935197186,11.6089613034623,14.367709683392,7.48009627846695,9.03536382151453,10.4980559155712,0.0326923076923077,0.0296875,0.0307847896440129,0.0275161588180979,0.0283967391304348,0.0342151675485009,0.0243080625752106,0.0254166666666667,0.0276315789473684,312,320,412,361,368,378,277,320,342
2,9,18,15.0157378263285,11.2386595074986,11.6830216626551,12.2199592668024,12.5902610627662,11.5349009442696,8.85021292353268,8.7020922051472,8.16515460099981,0.0265553372626064,0.0246747967479675,0.0254640839386602,0.0284974093264249,0.0263565891472868,0.0239799846035412,0.0248182762201454,0.0238095238095238,0.0222727272727273,509,410,413,386,430,433,321,329,330
2,10,19,13.9418626180337,12.0903536382151,13.1827439363081,10.683206813553,12.8494723199408,12.0903536382151,7.68376226624699,8.22069987039437,9.25754489909276,0.0379154078549849,0.0328801611278953,0.0325114155251141,0.0327097505668934,0.0318640955004591,0.0312739463601532,0.026199494949495,0.0302040816326531,0.0284414106939704,331,331,365,294,363,348,264,245,293
