Group,Subjects,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Time_coverage_7,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Duration_7,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6,Occurrence_7
2,1,8.66506202555082,24.1251620070357,6.88761340492501,22.7365302721718,9.27605998889095,18.7557859655619,9.51675615626736,0.0284671532846715,0.0513396375098502,0.0258333333333333,0.0454814814814814,0.0303636363636364,0.0408797417271993,0.0302709069493522,274,423,240,450,275,413,283
2,2,10.1647842992039,22.7365302721718,9.979633401222,19.4223291982966,6.79503795593409,20.7924458433623,10.1092390298093,0.0276435045317221,0.0398184176394293,0.0268159203980099,0.0363478863478863,0.0236164736164736,0.0376592890677397,0.0274096385542169,331,514,335,481,259,497,332
2,3,8.64654693575264,24.1066469172375,10.8498426217367,17.6263654878726,7.68376226624699,22.9031660803555,8.183669690798,0.0230276134122288,0.0388888888888888,0.0244166666666667,0.0309895833333333,0.02260348583878,0.0340771349862259,0.0237634408602151,338,558,400,512,306,605,310
2,4,8.29476022958711,18.2929087206073,7.53564154786151,19.0705424921311,7.07276430290687,23.8289205702648,15.8859470468432,0.0237037037037037,0.0321614583333333,0.0252168525402726,0.0346801346801346,0.0239348370927318,0.0416504854368932,0.0314285714285714,315,512,269,495,266,515,455
2,5,8.85021292353268,23.1068320681355,9.05387891131272,17.95963710424,7.98000370301796,22.8476208109609,10.2018144788002,0.0247412008281573,0.040625,0.027257525083612,0.0341789992952783,0.0260265700483092,0.0402478799739073,0.0274950099800399,322,512,299,473,276,511,334
2,6,8.42436585817441,25.1990372153305,8.59100166635808,19.4778744676912,9.3316052582855,20.1814478800222,8.75763747454175,0.027676399026764,0.0407973621103117,0.0261261261261261,0.0367575122292103,0.0280936454849498,0.0345373891001267,0.025267094017094,274,556,296,477,299,526,312
2,7,8.38733567857804,22.6439548231809,8.90575819292724,19.3852990187002,6.7765228661359,22.6995000925754,11.2016293279022,0.0210306406685237,0.0316020671834625,0.0223929236499069,0.0284665579119086,0.0208191126279863,0.0315329218106995,0.0236143637782982,359,645,358,613,293,648,427
2,8,9.40566561747825,22.3106832068136,7.9244584336234,19.4778744676912,8.25773004999074,22.8291057211627,9.77596741344196,0.0261316872427984,0.0385476647472808,0.025206124852768,0.0359289617486338,0.0247777777777778,0.0366310160427807,0.0264264264264264,324,521,283,488,300,561,333
2,9,6.79503795593409,24.051101647843,7.96148861321977,19.2001481207184,7.9244584336234,23.7733753008702,10.275874837993,0.0203211517165006,0.0326054216867469,0.0216515609264854,0.0285203520352035,0.0225738396624473,0.0359060402684563,0.0227272727272727,301,664,331,606,316,596,407
2,10,9.64636178485466,22.9216811701537,8.20218478059619,18.4965747083873,7.31346047028328,22.9401962599519,10.479540825773,0.0285635964912281,0.0415994623655914,0.0280735107731305,0.0383640552995391,0.0263333333333333,0.0414658634538152,0.0285858585858586,304,496,263,434,250,498,330
2,11,5.73967783743751,21.958896500648,6.12849472319941,24.8287354193668,10.3869653767821,22.3662284762081,8.5724865765599,0.024031007751938,0.043635025754231,0.0243024963289281,0.045519348268839,0.0331560283687943,0.0456538170823885,0.0278580024067389,215,453,227,491,282,441,277
2,12,7.68376226624699,20.4962044065914,8.07257915200889,19.1446028513238,8.0540640622107,23.2919829661174,13.2568042955008,0.021957671957672,0.0344859813084112,0.0232905982905983,0.0348148148148148,0.0238486842105263,0.0377777777777777,0.0274961597542242,315,535,312,495,304,555,434
