Time Coverage for eCAP 1  :  Effect size= 0	   p= 1
Time Coverage for eCAP 2  :  Effect size= 0	   p= 1
Time Coverage for eCAP 3  :  Effect size= 0	   p= 1
Time Coverage for eCAP 4  :  Effect size= 0	   p= 1
Time Coverage for eCAP 5  :  Effect size= 0	   p= 1
Duration for eCAP 1  :  Effect size= 0	   p= 1
Duration for eCAP 2  :  Effect size= 0	   p= 1
Duration for eCAP 3  :  Effect size= 0	   p= 1
Duration for eCAP 4  :  Effect size= 0	   p= 1
Duration for eCAP 5  :  Effect size= 0	   p= 1
Occurrence for eCAP 1  :  Effect size= 0	   p= 1
Occurrence for eCAP 2  :  Effect size= 0	   p= 1
Occurrence for eCAP 3  :  Effect size= 0	   p= 1
Occurrence for eCAP 4  :  Effect size= 0	   p= 1
Occurrence for eCAP 5  :  Effect size= 0	   p= 1
