Group,Subjects,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Time_coverage_7,Time_coverage_8,Time_coverage_9,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Duration_7,Duration_8,Duration_9,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6,Occurrence_7,Occurrence_8,Occurrence_9
2,1,7.08038317367763,12.161599333611,17.7426072469804,10.9537692628072,8.82965431070387,9.24614743856726,8.87130362349021,13.2861307788421,11.8284048313203,0.0230352303523035,0.0257495590828924,0.0290983606557377,0.0229493891797557,0.0237136465324385,0.0232704402515723,0.0238255033557047,0.0263201320132013,0.0233169129720854,123,189,244,191,149,159,149,202,203
2,2,6.78883798417326,10.2873802582257,14.4106622240733,10.079133694294,8.37151187005414,9.95418575593503,8.87130362349021,15.6601416076635,15.5768429820908,0.0277210884353742,0.0276286353467562,0.0331417624521073,0.0261904761904762,0.0235915492957747,0.0331944444444445,0.027734375,0.0338738738738739,0.0336936936936937,98,149,174,154,142,120,128,185,185
2,3,5.78925447730112,10.9954185755935,12.7446897126197,10.1207830070804,9.37109537692628,9.12119950020825,9.2877967513536,18.9087880049979,13.6609745939192,0.024910394265233,0.0255813953488372,0.0309090909090909,0.0253125,0.0232919254658385,0.0266423357664234,0.0277363184079602,0.0336296296296296,0.0284722222222222,93,172,165,160,161,137,134,225,192
2,4,9.32944606413994,11.5368596418159,12.0783007080383,8.32986255726781,7.5801749271137,11.3286130778842,9.03790087463557,15.2852977925864,15.4935443565181,0.0261072261072261,0.025936329588015,0.0294715447154472,0.0229885057471265,0.0213615023474179,0.0271457085828343,0.0280361757105943,0.031692573402418,0.0308457711442786,143,178,164,145,142,167,129,193,201
2,5,7.08038317367763,8.41316118284048,14.8271553519367,9.82923781757601,11.3286130778842,8.99625156184923,10.5789254477301,15.2852977925864,13.6609745939192,0.0234159779614325,0.0224444444444445,0.028525641025641,0.0227360308285164,0.0228956228956229,0.0219512195121951,0.0247563352826511,0.0294070512820513,0.0270627062706271,121,150,208,173,198,164,171,208,202
2,6,7.70512286547272,8.57975843398584,12.7030403998334,11.2036651395252,8.87130362349021,10.0374843815077,11.7034568929613,16.0349854227405,13.1611828404831,0.022671568627451,0.0243498817966903,0.0260683760683761,0.0242342342342343,0.0212574850299401,0.0228219696969697,0.0247795414462081,0.0305555555555556,0.0250793650793651,136,141,195,185,167,176,189,210,210
2,7,8.20491461890879,9.57934194085798,13.4527280299875,9.78758850478967,8.57975843398584,11.2453144523115,8.62140774677218,15.9100374843815,14.5772594752187,0.02468671679198,0.0250544662309368,0.0274659863945578,0.0257675438596491,0.0241784037558686,0.0269461077844311,0.0246428571428572,0.0321548821548822,0.0290215588723052,133,153,196,152,142,167,140,198,201
2,8,8.49645980841316,11.4119117034569,13.9941690962099,9.37109537692628,9.16284881299459,8.62140774677218,8.66305705955852,14.993752603082,15.2852977925864,0.0225165562913907,0.0262452107279694,0.0254545454545455,0.0215517241379311,0.0215686274509804,0.0225490196078432,0.0253041362530414,0.0273972602739726,0.025068306010929,151,174,220,174,170,153,137,219,244
2,9,8.32986255726781,8.7463556851312,14.743856726364,10.2040816326531,9.41274468971262,10.7455226988755,9.87088713036235,14.868804664723,13.0362349021241,0.0228310502283105,0.0210843373493976,0.0278301886792453,0.0221920289855073,0.0221568627450981,0.0244318181818182,0.0254838709677419,0.0318181818181818,0.0258250825082508,146,166,212,184,170,176,155,187,202
2,10,8.87130362349021,10.6205747605165,9.41274468971262,8.37151187005414,10.3290295710121,11.911703456893,11.8284048313203,15.8683881715952,12.7863390254061,0.0275193798449613,0.0263975155279503,0.0233954451345756,0.0231034482758621,0.0258333333333334,0.030168776371308,0.0295833333333333,0.038719512195122,0.0273618538324421,129,161,161,145,160,158,160,164,187
2,11,6.66389004581424,9.70428987921699,15.6184922948771,10.9954185755935,9.87088713036235,8.32986255726781,11.4119117034569,12.9945855893378,14.4106622240733,0.0227920227920228,0.020990990990991,0.0271739130434783,0.0221105527638191,0.0227011494252874,0.0236406619385343,0.0281893004115226,0.0268041237113402,0.0269470404984424,117,185,230,199,174,141,162,194,214
2,12,7.49687630154102,8.99625156184923,15.3685964181591,9.87088713036235,9.91253644314869,9.91253644314869,9.78758850478967,15.7850895460225,12.8696376509788,0.0236220472440945,0.0225,0.0274553571428571,0.0243827160493827,0.0249475890985325,0.0298245614035088,0.0257675438596491,0.0325601374570447,0.0287709497206704,127,160,224,162,159,133,152,194,179
2,13,5.8725531028738,9.99583506872137,14.743856726364,11.3286130778842,7.28862973760933,11.6618075801749,11.9533527696793,12.2448979591837,14.9104539775094,0.0211711711711712,0.0235294117647059,0.0276995305164319,0.0249084249084249,0.0216049382716049,0.0260707635009311,0.0257168458781362,0.0275280898876405,0.0288244766505636,111,170,213,182,135,179,186,178,207
2,14,9.03790087463557,8.82965431070387,14.0358184089963,10.9121199500208,11.5368596418159,8.7463556851312,9.82923781757601,16.1599333610995,10.9121199500208,0.0296448087431694,0.0256038647342995,0.0306921675774135,0.0269547325102881,0.0284979423868313,0.02734375,0.0265765765765766,0.0316993464052288,0.0281720430107527,122,138,183,162,162,128,148,204,155
2,15,5.1228654727197,6.91378592253228,12.2448979591837,14.8271553519367,9.32944606413994,10.3706788837984,8.87130362349021,16.7430237401083,15.5351936693045,0.0222826086956522,0.0236467236467237,0.0345070422535212,0.0288025889967638,0.0242424242424243,0.0254601226993865,0.0261029411764706,0.0314553990610329,0.0294628751974724,92,117,142,206,154,163,136,213,211
2,16,7.41357767596835,9.91253644314869,12.036651395252,10.2040816326531,4.20658059142024,15.1187005414411,9.2877967513536,15.8683881715952,15.9100374843815,0.0340996168582376,0.0277389277389278,0.0295501022494888,0.028755868544601,0.0224444444444444,0.0366666666666667,0.031497175141243,0.0362857142857143,0.0340463458110517,87,143,163,142,75,165,118,175,187
2,17,9.99583506872137,10.5789254477301,13.4110787172012,10.3290295710121,9.12119950020825,9.95418575593503,10.8704706372345,12.4531445231154,13.2444814660558,0.027972027972028,0.0262939958592133,0.0280977312390925,0.024750499001996,0.025,0.023995983935743,0.0271875,0.0311458333333333,0.0271794871794872,143,161,191,167,146,166,160,160,195
2,18,7.20533111203665,9.82923781757601,13.6193252811329,10.9954185755935,10.4123281965848,9.70428987921699,12.4947938359017,13.5360266555602,12.161599333611,0.0291245791245791,0.0280952380952381,0.0353896103896104,0.0261904761904762,0.0274122807017544,0.0279376498800959,0.0367647058823529,0.0338541666666667,0.0309978768577495,99,140,154,168,152,139,136,160,157
2,19,8.7463556851312,9.53769262807164,13.1195335276968,7.74677217825906,12.4947938359017,9.12119950020825,12.0783007080383,14.493960849646,12.6613910870471,0.0261194029850746,0.0249455337690632,0.03,0.023134328358209,0.0251256281407035,0.0260714285714286,0.0285996055226825,0.0294416243654822,0.0283054003724395,134,153,175,134,199,140,169,197,179
2,20,7.33027905039567,8.20491461890879,13.8275718450646,11.1620158267389,10.4956268221574,8.70470637234486,10.7871720116618,16.8679716784673,12.6197417742607,0.0242424242424243,0.0248737373737374,0.0314393939393939,0.0264299802761341,0.025,0.0254257907542579,0.0269791666666667,0.03375,0.0283707865168539,121,132,176,169,168,137,160,200,178
2,21,9.57934194085798,8.57975843398584,12.8696376509788,10.2457309454394,10.4123281965848,9.95418575593503,9.20449812578092,14.3273635985006,14.8271553519367,0.0277777777777778,0.0248792270531401,0.0281420765027323,0.025,0.0239463601532567,0.0269144144144144,0.0250566893424036,0.0274322169059011,0.0304273504273504,138,138,183,164,174,148,147,209,195
2,22,10.3290295710121,7.08038317367763,15.6184922948771,9.74593919200333,8.16326530612245,9.53769262807164,10.6622240733028,14.8271553519367,14.0358184089963,0.0250505050505051,0.0223097112860892,0.0275330396475771,0.025,0.0235011990407674,0.0238541666666667,0.0249512670565302,0.028525641025641,0.0278052805280528,165,127,227,156,139,160,171,208,202
2,23,8.07996668054977,10.7038733860891,7.5801749271137,8.78800499791753,8.91295293627655,12.7863390254061,12.3698458975427,15.9516867971678,14.8271553519367,0.0256613756613757,0.0249031007751938,0.0242666666666667,0.0228354978354979,0.0227176220806794,0.031010101010101,0.027808988764045,0.0311382113821138,0.0304273504273504,126,172,125,154,157,165,178,205,195
2,24,7.16368179925031,10.5372761349438,9.41274468971262,9.2877967513536,10.0374843815077,10.3706788837984,12.3698458975427,15.9100374843815,14.9104539775094,0.027831715210356,0.0294871794871795,0.0246187363834423,0.0241341991341991,0.022952380952381,0.026948051948052,0.0282857142857143,0.0284226190476191,0.0288244766505636,103,143,153,154,175,154,175,224,207
2,25,10.079133694294,8.57975843398584,12.9529362765514,10.7871720116618,9.20449812578092,9.57934194085798,11.2036651395252,12.6613910870471,14.9104539775094,0.0247443762781186,0.0238425925925926,0.0250402576489533,0.0245265151515152,0.0214147286821706,0.0228174603174603,0.0237213403880071,0.0244766505636071,0.0261695906432749,163,144,207,176,172,168,189,207,228
2,26,9.32944606413994,9.53769262807164,9.53769262807164,11.8700541441066,10.2040816326531,9.99583506872137,10.8288213244481,15.4102457309454,13.2861307788421,0.0257471264367816,0.0224509803921569,0.0254444444444445,0.0244845360824742,0.0230696798493409,0.0239520958083832,0.0250481695568401,0.0282874617737003,0.0256843800322061,145,170,150,194,177,167,173,218,207
2,27,7.62182423990004,9.16284881299459,11.8700541441066,9.99583506872137,11.7451062057476,9.74593919200333,10.5789254477301,15.2436484798001,14.0358184089963,0.0222627737226277,0.0236559139784946,0.0256756756756757,0.0228571428571429,0.0238578680203046,0.0246835443037975,0.0249019607843137,0.0273542600896861,0.0270032051282051,137,155,185,175,197,158,170,223,208
2,28,6.91378592253228,9.99583506872137,12.2032486463973,11.3702623906706,9.20449812578092,9.74593919200333,12.5780924614744,11.4119117034569,16.5764264889629,0.0230555555555556,0.0220994475138122,0.0297764227642277,0.0239473684210526,0.0240740740740741,0.0254901960784314,0.0282771535580524,0.0268627450980392,0.0269647696476965,120,181,164,190,153,153,178,170,246
2,29,7.83007080383174,10.1624323198667,8.16326530612245,10.3706788837984,8.32986255726781,10.4539775093711,12.9112869637651,16.2848812994586,15.4102457309454,0.0241025641025641,0.0260683760683761,0.0240196078431373,0.0239884393063584,0.0239808153477218,0.0275219298245614,0.0296934865900383,0.0358058608058608,0.0306799336650083,130,156,136,173,139,152,174,182,201
